code,product_name,brands,countries_tags,categories_tags,labels_tags,ingredients_text,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,unsaturated-fat_100g,monounsaturated-fat_100g,omega-9-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,omega-6-fat_100g,trans-fat_100g,carbohydrates_100g,sugars_100g,added-sugars_100g,fiber_100g,soluble-fiber_100g,insoluble-fiber_100g,proteins_100g,serum-proteins_100g,salt_100g,added-salt_100g
8998866820103,Haku Monaka Vanilla,GlicoWings,en:indonesia,,,,301,,3,,,,,,,,,8,4,,,,,1,,,
8998866820189,Strawberry Loop,GlicoWings,en:indonesia,,,,477,,28,2,,,,,,,,20,20,,,,,,,,
8998866820233,Haku Monaka Choco & Choco,GlicoWings,en:indonesia,,,,300,,2.77777777777778,,,,,,,,,7.77777777777778,1.66666666666667,,,,,0.555555555555555,,,
8998866820257,Waku Waku Chewy Grape,GlicoWings,en:indonesia,,,,1004,,4,,,,,,,,,50,24,,,,,,,,
8998866820271,Haku matcha monaka ice cream,Glico wings,en:indonesia,,,,372,,3.33,2.78,,,,,,,,13.3,4.44,,0,,,1.11,,0.0417,
8998866820363,Haku Vanilla & Crispy Choco  Monaka,Glico,en:indonesia,,,,418,,2.5,2,,,,,,,,17,10,,,,,2,,,
8998888110114,Marjan,,en:indonesia,,,,1793,,0,0,,,,,,,,100,100,,0,,,0,,0,
8998888172112,Syrup Markisa,Marjan,en:indonesia,,en:halal,,836,,0,0,,,,,,,0,52,48,0,0,,,0,,0.25,
8998888461117,Maestro,Maestro,en:indonesia,"en:condiments,en:sauces,en:mayonnaises,en:groceries,id:mayones",en:halal,"Air, Minyak Kedelai, Gula, Pengental Nabati, Garam, Kuning Telur, Mustard Bubuk, Pengental Gom Xantha, Pengatur Keasaman, Pengawet (Natrium Benzoat, Kalium Sorbat), Sekuestran.",1510,1340,24,4,,,,,,,0,28,8,,,,,0,,2,
8998888461384,Thousand island salad dressing,,en:indonesia,"en:condiments,en:sauces,en:salad-dressings,en:thousand-island-dressing,en:groceries",,,1255,,4.5,4,,,,,,,,4,3,,,,,0,,16,
8998888461810,Mayonais Pedas,Maestro,en:indonesia,,,,1340,,28,4,,,,,,,,16,12,,,,,0,,3.1,
8998888462169,Wijen Samgrai,Maestro,en:indonesia,,,,1255,,20,7.5,,,,,,,,30,20,,,,,5,,,
8998888710147,Del Monte,Del Monte,en:indonesia,"en:condiments,en:sauces,en:tomato-sauces,en:ketchup,en:groceries,id:tomat","en:halal,en:plant-based","Air, Pasta Tomat 23%, Gula, Garam, Pengental Nabati, Pengatur Keasaman, Pengawet (Natrium Benzoat, Natrium Metabisulfit), Pemanis Alami Glikosida Steviol, Bumbu.",84,,0,0,,,,,,,,5,3,,,,,0,,0.29,
8998888712196,Del Monte,Del Monte,en:indonesia,"en:condiments,en:sauces,en:groceries",en:halal,"Air, Gula, Pasta Tomat, Minyak Nabati, Garam, Bumbu dan Rempah, Pengental Nabati, Penguat Rasa (Mononatrium Glutamat, Dinatrium Inosinat-Guanilat), Protein Nabati TVP (mengandung pewarna alami Karamel IV), Pengatur Keasaman, Pengental Gom Xanthan, Pengawet (Natrium Benzoat, Natrium Metabisulfit), Perisa Sintetik Sapi (mengandung antioksidan Asam Askorbat).",293,63,2,1,,,,,,,,13,11,,,,,1,,0.7,
8998888712295,Del Monte,Del Monte,en:indonesia,"en:condiments,en:sauces,en:groceries",en:halal,"Air, Gula, Pasta Tomat, Mustard, Garam, Pengental Nabati, Bumbu dan Rempah, Pengatur Keasaman, Perisa Alami Asap, Pengental Gom Xanthan, Pengawet Natrium Benzoat, Pewarna Alami Karamel IV.",251,,0,0,,,,,,,,14,14,,,,,0,,0.88,
8998898842203,Vitamin C 1000mg,SidoMuncul,en:indonesia,"en:dietary-supplements,en:suplemen-kesehatan",,,0,,0,0,,,,,,,,0,0,,0,,,0,,0,
8998999885925,Plain Whey Isolate,Puro,en:indonesia,,,,1530,,0,,,,,,,,,0,,,,,,90,,0.833,
8998999885994,Whey Isolate Choco Éclairs,Puro,en:indonesia,,,,1530,,0,0,,,,,,,,3.33,,,,,,90,,1.04,
8998999886045,Plain Pea Protein,Puro,en:indonesia,,,,1670,,10,,,,,,,,,3.33,,,3.33,,,76.7,,2.08,
8998999886090,Pea Protein Powder - Isolate,Puro,en:indonesia,,,,1670,,8.33,1.67,,,,,,,,10,0,,10,,,70,,1.83,
8999099920769,SGM Eksplor 3+ Cokelat,SGM,en:indonesia,en:chocolate-milk-powder,en:halal,"_Milk Powder-42%_, Maltodextrin, Sucrose, Vegetable Oil Blend (contains antioxidants dl-a-tocopherol and ascorbyl palmitate), Cocoa Powder-4.5%, Dietary Fiber-3%, 6 Minerals, Synthetic Chocolate Flavor, Soy Lecithin Emulsifier, Vitamin Premix, Synthetic Vanilla Flavor, DHA Derived from Fish Oil-0.02% (contains antioxidants tocopherol, ascorbyl palmitate, citric acid, and sodium ascorbate)",1780,,12.5,5,,,,,,,0,67.5,42.5,,2.5,,,12.5,,0.225,
8999269481014,S-26® PROCAL GOLD® MULTIEXCEL αLipids System,Wyeth Nutrition,en:indonesia,"en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:dried-products,en:milks,en:dried-products-to-be-rehydrated,en:dehydrated-beverages,en:milk-powders",en:halal,"lactose, nonfat powdered milk, vegetable oils (soybean, sunflower oleic, palm), contains antioxidants, whey protein concentrate, maltodextrin, oligofructose, 14 minerals,  emulsifiers, vitamin, long chain polyunsaturated fatty acids come from single cells, arachidonic acid, taurine, artificial flavors, acidity regulator, 5 nucleotides, antioxidant.",1800,,14.3,0,,,,,,,0,61.9,54.8,,2.38,,,11.9,,0.262,
8999471496073,Skyr nature,Carrefour sensation,en:indonesia,,,,218,,,,,,,,,,,4,3.59999990463257,,,,,8.89999961853027,,,
8999537023267,Toffee Caramel Shake,,en:indonesia,,,,418,,2.45,0.9,,,,,,,,8.5,0.65,,2.15,,,10,,,
8999898299035,Diamond Fresh Milk,Diamond,en:indonesia,"en:dairies,en:milks,en:fresh-milks,en:cow-milks",en:halal,Fresh milk,272,,3.5,2.25,,,,,,,,4.5,3.5,,4.5,,,3.5,,0.045,
8999898300038,Chocolate fresh milk,Diamond,en:indonesia,,,,1506,,140,7,,,,,,,,46,40,,6,,,10,,,
8999898962212,Biokul ys.blueberry 80ml,Biokul,en:indonesia,,,,366,,0,,,,,,,,,16.2,7.5,,2.5,,,6.25,,0.125,
8999898962540,Diamond Full Cream Milk UHT,Diamond,en:indonesia,"en:dairies,en:milks,en:homogenized-milks,en:uht-milks",en:halal,"Fresh Milk-99.9%, Vitamin Premix",251,,3,2,,,,,,,0,5,3,,,,,3,,0.05,
8999898962557,Diamond UHT Chocolate,Diamond,en:indonesia,"en:beverages-and-beverages-preparations,en:beverages,en:dairies,en:dairy-drinks,en:milks,en:flavoured-milks,en:homogenized-milks,en:chocolate-milks,en:uht-milks",,"_fresh milk_, water, sugar, dextrose, cocoa powder, _whey powder_, _skim milk powder_, stabilizer, synthetic chocolate flavour,, vitamin premix.",314,,2.25,1.5,,,,,,,0,11.5,8.5,,,,,2,,0.035,
8999898962588,Susu UHT Rendah Lemak,Diamond,en:indonesia,,,,188,,0.75,0.5,,,,,,,,7,4.5,,,,,3,,0.113,
8999898962656,Apricot Yogurt,Biokul,en:indonesia,,,,377,,0,0,,,,,,,,15,8,,2,,,6,,0.113,
8999898962694,Biokul set Yog plain,Biokul,en:indonesia,,en:halal,,42,,1,1.5,,,,,,,,10,6,,1,,,5,,,
8999898969419,Low fat Milk,Brookfarm,en:indonesia,,,,209,,0.75,0.5,,,,,,,0,7,4,,,,,3.5,,0.15,
8999898969846,High Calcium Strawberry Milk,BrookFarm,en:indonesia,,,,314,104,3,2,,,,,,,0,8,6,,,,,4.5,,0.05,
8999898971221,Biokul Greek yogurt plain,Bio Kul,en:indonesia,"en:dairies,en:fermented-foods,en:fermented-milk-products,en:desserts,en:dairy-desserts,en:fermented-dairy-desserts,en:yogurts,en:greek-style-yogurts","en:organic,en:halal","Air, Konsentrat Susu, Krim Susu Buttermilk Bubuk, Kultur Yogurt S.thermophilus. Libugaricus leacidophilus, Bifidobacterium INGREDIENTWater k Cncik Cteam, Buttermilk Powder Yogurt Cuilture (S thermophius. Lbulgaricus, Lacidophilus, Biidobacterium)",544,,7,5,,,,,,,0,11,4,,,,,6,,0.075,
